"tinh","huyen","xa","diaban","hoso","m4b31ma","m4b31c3","m4b31c4","m4b31c5","m4b32c7","m4b32c8","m4b32c9","m4b32c10","m4b32c11","m4b32c12","m4b32c13","m4b32c14","m4b32c15","m4b32c16","m4b32c17"
"113","13","15","003",15,"Phßng trõ s©u bÖnh",12,800,9600,10,100,200,0,0,0,0,0,0,50,360
"113","17","31","006",15,"Tuèt lóa, s¬ chÕ SP",2,2700,5400,150,100,1800,300,1000,0,500,0,0,0,3850
"113","17","31","006",15,"Cµy xíi, lµm ®Êt",4,3500,14000,300,200,3200,400,1500,0,700,390,0,0,6690
"113","17","45","003",13,"Cµy xíi, lµm ®Êt",6,637,3822,100,40,0,17,15,0,0,0,0,0,172
"113","19","63","009",14,"Cµy xíi, lµm ®Êt",3,2300,6900,0,40,1850,400,800,0,0,0,0,0,3090
"113","19","63","009",14,"Tuèt lóa, s¬ chÕ SP",2,1600,3200,0,30,880,200,450,0,0,0,0,0,1560
"115","05","35","011",15,"Tuèt lóa, s¬ chÕ SP",1,1500,1500,0,15,500,15,170,0,0,0,0,0,700
"115","07","41","004",13,"Cµy xíi, lµm ®Êt",2,3500,7000,0,200,1440,300,400,0,300,0,0,0,2640
"115","07","41","004",14,"Cµy xíi, lµm ®Êt",2,2625,5250,0,164,1268,360,470,0,600,0,0,0,2862
"115","09","55","010",19,"Tuèt lóa, s¬ chÕ SP",1,3500,3500,0,50,1000,100,500,0,0,0,0,0,1650
"115","09","55","010",19,"Cµy xíi, lµm ®Êt",3,4000,12000,0,50,2500,200,700,0,2400,600,0,0,6450
"115","13","03","011",13,"DV kh¸c",12,800,9600,2262,125,0,13,0,0,0,0,0,0,2400
"115","13","75","010",14,"Cµy xíi, lµm ®Êt",3,2130,6390,0,70,1520,250,1032,0,1100,0,0,0,3972
"115","15","39","007",15,"Cµy xíi, lµm ®Êt",4,2700,10800,0,50,3450,500,100,0,0,0,0,0,4100
"117","05","25","004",14,"Cµy xíi, lµm ®Êt",3,900,2700,50,30,0,20,90,0,0,0,0,0,190
"117","05","33","003",14,"Cµy xíi, lµm ®Êt",2,3500,7000,0,140,610,250,400,0,1500,0,0,100,3000
"117","05","43","011",14,"Cµy xíi, lµm ®Êt",4,3000,12000,0,100,2600,1450,1000,0,0,0,0,0,5150
"117","05","43","011",20,"Cµy xíi, lµm ®Êt",6,900,5400,0,60,900,30,270,0,0,1350,0,60,2670
"117","05","51","004",14,"Cµy xíi, lµm ®Êt",3,650,1950,120,15,0,0,90,0,0,0,0,0,225
"117","11","09","017",14,"Cµy xíi, lµm ®Êt",4,1075,4300,0,100,0,0,100,0,0,0,0,0,200
"117","11","15","019",13,"Phßng trõ s©u bÖnh",2,100,200,0,30,0,0,0,0,0,0,0,0,30
"117","11","29","009",13,"Cµy xíi, lµm ®Êt",4,1000,4000,220,100,0,0,100,0,0,0,0,0,420
"117","13","39","017",15,"Cµy xíi, lµm ®Êt",3,2167,6501,270,43,0,0,250,0,0,0,0,0,563
"201","19","61","004",13,"Cµy xíi, lµm ®Êt",4,2400,9600,1450,700,1300,0,1200,0,0,0,0,250,4900
"201","19","61","004",13,"Tuèt lóa, s¬ chÕ SP",4,2000,8000,1430,600,1500,0,1200,0,0,0,0,280,5010
"203","15","15","004",14,"Cµy xíi, lµm ®Êt",2,527,1054,205,0,92,50,340,0,0,0,0,0,687
"205","01","27","011",15,"Cµy xíi, lµm ®Êt",2,500,1000,0,180,0,0,100,0,0,0,0,0,280
"205","09","51","001",14,"Cµy xíi, lµm ®Êt",1,650,650,0,30,0,0,0,0,0,0,0,0,30
"205","19","43","003",15,"Cµy xíi, lµm ®Êt",6,2000,12000,0,100,2850,250,400,0,0,100,0,0,3700
"207","01","15","007",13,"Cµy xíi, lµm ®Êt",1,120,120,0,10,0,0,0,0,0,0,0,0,10
"207","07","07","004",13,"Cµy xíi, lµm ®Êt",1,160,160,0,10,0,0,0,0,0,0,0,0,10
"207","07","37","002",15,"Cµy xíi, lµm ®Êt",1,600,600,0,0,50,0,80,0,0,0,0,0,130
"207","12","17","002",15,"Cµy xíi, lµm ®Êt",1,360,360,0,0,0,0,100,0,0,0,0,0,100
"209","03","29","005",13,"Cµy xíi, lµm ®Êt",2,3100,6200,0,0,2400,240,800,0,0,360,0,0,3800
